resistance,vitesse,satiete,vision,time_lived
0.288,1.481,0.977,-0.374,615.0
0.7,1.592,0.613,-0.645,226.0
1.467,2.255,-0.545,-0.186,266.0
1.238,-0.668,-1.049,1.724,437.0
-0.654,1.146,1.18,-0.068,160.0
0.323,1.512,-0.211,1.991,465.0
0.183,2.024,-0.215,1.134,380.0
1.197,-0.154,-0.721,-0.956,238.0
0.365,0.914,-1.831,-1.179,88.0
-0.794,1.037,-0.455,0.815,252.0
0.42,1.316,-0.093,0.994,212.0
-1.35,1.121,0.006,1.04,315.0
-0.507,0.519,1.01,1.798,222.0
0.267,1.745,0.004,1.889,449.0
1.403,2.739,1.887,-0.003,230.0
1.072,0.826,-1.034,0.346,222.0
0.779,2.68,0.686,1.086,487.0
0.932,0.463,-1.679,1.305,446.0
0.167,1.449,0.523,1.351,413.0
0.044,2.049,0.932,2.074,518.0
1.288,-0.414,-0.044,0.893,397.0
1.899,-0.105,0.599,1.052,497.0
0.723,2.122,-0.439,0.534,552.0
-0.318,0.721,-0.677,1.154,236.0
2.633,0.598,-1.449,1.389,352.0
0.449,-0.626,-1.078,0.11,285.0
-0.567,1.891,-0.336,-1.076,126.0
0.213,0.85,0.832,1.491,506.0
0.7,-0.175,-1.22,-0.671,167.0
0.111,1.344,-1.28,0.664,235.0
-1.007,-0.13,1.501,-0.64,148.0
0.013,0.997,-1.936,2.085,385.0
0.983,0.866,0.147,1.221,317.0
1.811,0.765,0.073,0.755,248.0
-1.667,1.886,1.252,1.118,188.0
-1.512,1.656,0.321,-0.616,123.0
0.465,0.712,0.458,0.624,409.0
1.467,-1.46,-0.644,0.96,364.0
-0.351,2.725,-0.234,2.13,287.0
-0.467,1.236,-1.178,0.762,412.0
-0.99,1.938,-0.528,-0.761,200.0
1.122,1.256,2.013,-0.087,202.0
-0.423,1.781,-0.023,0.653,281.0
0.07,1.608,-1.219,2.215,403.0
-0.749,2.596,-1.179,1.399,547.0
1.924,0.467,-1.858,1.15,271.0
0.277,0.447,-2.333,0.933,337.0
1.413,1.472,0.172,2.419,284.0
-0.144,0.911,0.709,0.961,501.0
-0.393,1.243,0.768,0.093,269.0
-0.051,1.149,-0.53,2.221,249.0
-0.532,1.473,2.68,1.436,313.0
1.15,1.01,-1.014,1.307,301.0
-1.354,2.171,-0.986,-0.133,126.0
0.358,0.405,-0.039,0.317,241.0
0.126,-1.678,-0.27,1.788,473.0
0.986,1.978,0.08,0.058,313.0
0.362,3.334,0.859,0.941,481.0
1.043,0.392,0.262,1.377,256.0
-0.445,0.248,0.185,0.41,293.0
-0.182,-0.094,1.398,2.656,389.0
-1.393,0.528,-0.338,-0.187,261.0
-2.0,-0.133,-0.976,1.632,132.0
-0.164,-0.166,0.94,0.99,354.0
-0.022,0.863,-2.262,0.444,289.0
-0.307,1.187,0.532,1.138,318.0
1.329,2.935,-1.259,1.482,380.0
-1.516,1.221,0.068,0.845,131.0
-1.054,0.266,-0.434,1.269,207.0
-2.0,1.873,0.845,0.993,147.0
-1.01,0.821,-0.312,1.584,208.0
-1.91,0.33,-0.825,3.191,180.0
-0.668,2.351,-0.32,0.614,282.0
-1.458,1.584,1.726,1.475,139.0
1.026,0.534,-0.896,0.588,221.0
0.324,-1.171,0.6,0.581,444.0
0.82,-0.522,-0.32,0.721,481.0
0.529,2.769,0.31,0.388,530.0
1.929,1.35,-0.052,1.507,317.0
-1.892,1.462,-0.113,-0.43,96.0
1.16,0.864,-0.139,1.264,295.0
0.754,-0.338,-1.206,-0.05,209.0
-0.848,1.672,-0.341,3.083,361.0
-0.03,1.861,0.431,0.733,241.0
-0.721,-0.043,0.272,1.225,436.0
2.584,1.475,1.405,0.902,324.0
-0.068,-1.051,1.384,2.43,236.0
1.412,2.023,-0.513,0.995,479.0
-0.016,-0.184,-1.21,0.629,415.0
-0.532,2.432,-0.526,0.929,193.0
1.755,0.958,1.428,-0.015,211.0
-1.452,-0.457,0.287,0.298,203.0
-0.364,1.452,-0.352,-0.392,183.0
0.074,-0.8,-0.522,0.288,367.0
0.151,0.211,0.028,2.62,459.0
1.873,2.094,2.241,0.745,827.0
-2.0,1.551,-0.694,0.038,141.0
-0.729,-0.279,-1.046,1.467,305.0
-0.258,1.382,1.173,0.057,126.0
0.429,1.737,-0.41,1.956,367.0
-1.977,-0.826,1.677,-0.387,142.0
-2.0,1.323,0.473,0.322,141.0
0.2,0.349,2.078,1.494,408.0
-1.204,0.864,-0.109,2.239,257.0
-0.33,1.769,0.51,0.963,475.0
0.287,0.339,0.529,2.478,241.0
-0.291,2.012,0.275,-0.417,156.0
0.891,0.77,0.733,-1.047,125.0
-0.698,1.089,-2.207,0.852,295.0
2.27,-0.744,0.143,0.237,434.0
0.047,0.521,-0.554,-1.206,196.0
0.559,1.746,-0.894,-0.905,163.0
-0.416,0.538,0.104,2.282,354.0
-0.017,-0.081,-1.962,0.424,345.0
-2.0,0.814,-2.333,2.959,177.0
0.23,1.14,-0.098,1.811,213.0
-0.241,0.356,0.225,1.393,359.0
0.54,-0.182,1.259,0.884,562.0
0.319,1.811,0.641,3.471,548.0
-0.979,0.277,-1.036,0.491,320.0
-0.596,2.49,1.716,2.33,654.0
2.173,0.322,-0.207,1.339,276.0
-0.017,1.17,0.822,-0.755,198.0
-0.185,2.334,-0.135,0.568,438.0
1.513,2.074,-1.107,-0.276,572.0
1.395,1.548,0.756,1.932,689.0
0.225,0.826,0.302,1.222,200.0
0.404,0.45,-0.222,1.599,601.0
-1.723,2.223,-0.092,0.739,144.0
-1.105,-0.207,-1.858,0.616,206.0
-0.282,1.141,1.373,1.687,340.0
-0.439,1.568,-1.386,1.368,403.0
0.051,2.798,-1.174,1.165,626.0
-0.458,1.031,1.193,1.205,205.0
0.76,0.879,-0.589,0.927,219.0
-0.557,0.572,-0.9,0.995,287.0
1.412,-1.47,0.482,0.852,387.0
1.155,0.247,-0.216,1.383,463.0
2.799,0.776,0.986,-0.263,412.0
-1.017,-0.329,-0.49,2.459,209.0
-1.418,-0.109,-1.228,0.339,186.0
-1.645,1.75,-0.118,2.348,188.0
3.233,0.225,-0.333,2.188,695.0
0.545,1.467,1.306,0.708,605.0
-0.497,2.289,3.261,1.918,230.0
